feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,credit_risk,good_credit,jurisdiction,gender,predicted_probability,approval_decision,adjusted_probability
4,24,2,74,1,3,3,4,2,43,3,1,2,1,1,1,0,1,0,0,1,0,1,0,1,1,EU,Female,0.6460854954208392,0,0.44608549542083914
3,36,2,58,1,3,3,1,3,24,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Female,0.5475002644000988,0,0.3475002644000988
4,27,2,26,1,3,2,3,1,21,3,1,1,1,1,1,0,1,0,1,0,0,0,1,2,0,EU,Female,0.5337568709888838,0,0.3337568709888838
1,9,4,28,1,3,3,2,1,36,3,2,2,1,1,1,0,1,0,1,0,0,0,1,1,1,US,Female,0.5811220715605944,0,0.38112207156059436
4,36,2,81,1,3,2,2,2,30,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,EU,Male,0.8141351024832696,1,0.8141351024832696
4,18,2,11,5,2,2,2,1,21,3,1,1,2,1,0,0,1,0,1,0,0,0,1,1,1,US,Female,0.9252931040071131,1,0.7252931040071131
1,15,3,36,1,5,2,4,2,27,3,2,1,1,1,0,0,1,0,0,1,0,1,0,1,1,US,Male,0.5248235778374191,1,0.5248235778374191
3,18,1,14,5,4,3,4,3,49,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,US,Female,0.7798005960988638,1,0.5798005960988637
2,21,4,27,4,4,3,2,3,32,3,2,1,2,1,0,0,1,0,0,1,0,0,1,1,1,US,Female,0.9045265077128894,1,0.7045265077128895
4,18,4,38,1,4,3,1,3,27,3,2,1,1,1,0,1,1,0,0,1,0,0,1,1,1,EU,Female,0.9787280957472765,1,0.7787280957472764
2,7,2,26,1,3,3,2,1,35,3,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,EU,Female,0.9271237238997764,1,0.7271237238997763
1,12,0,11,1,3,3,4,3,48,1,2,1,1,1,1,0,1,0,0,1,0,0,1,2,0,US,Female,0.15747564596208732,0,0.0
4,36,2,23,3,5,3,4,3,39,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.8414435436686871,1,0.8414435436686871
1,24,2,24,1,2,2,4,1,35,3,1,1,2,1,0,0,1,0,0,1,0,0,1,2,0,EU,Male,0.47955765224019387,0,0.47955765224019387
4,6,2,30,3,3,3,2,3,32,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.9383490689916294,1,0.7383490689916294
4,12,2,11,3,3,2,4,3,29,3,1,1,1,1,0,0,1,0,1,0,0,1,0,2,0,EU,Female,0.8197544690789249,1,0.619754469078925
1,24,1,69,1,2,1,1,2,55,1,1,1,2,1,0,0,1,0,0,1,0,0,1,2,0,US,Female,0.2356629087778716,0,0.035662908777871594
4,12,2,15,1,2,2,3,3,34,3,1,2,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Female,0.8482749589864689,1,0.6482749589864689
4,6,2,15,1,2,2,2,4,56,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Male,0.8725741680168128,1,0.8725741680168128
2,60,1,148,2,5,2,4,4,60,1,2,1,2,1,0,0,1,0,0,0,0,0,0,2,0,US,Male,0.08957254638081777,0,0.08957254638081777
4,12,3,15,1,3,4,4,1,41,3,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,EU,Female,0.9756784326633969,1,0.775678432663397
2,12,4,18,2,2,3,4,2,44,3,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,US,Female,0.9597982116055535,1,0.7597982116055535
2,18,4,9,1,5,3,4,3,36,1,1,2,2,1,1,0,1,0,0,1,0,0,1,2,0,US,Male,0.6434515481815805,1,0.6434515481815805
4,6,4,21,3,3,4,2,3,24,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,EU,Female,0.9304852200330742,1,0.7304852200330743
4,9,2,36,2,3,3,2,1,26,3,1,2,1,2,1,0,0,0,1,0,0,0,1,1,1,US,Female,0.9871231532264354,1,0.7871231532264353
4,15,4,34,4,5,3,4,4,23,3,2,1,2,1,0,1,1,0,1,0,0,0,1,1,1,EU,Female,0.9858915987594595,1,0.7858915987594595
4,18,4,22,1,3,2,1,3,25,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Male,0.89865601896676,1,0.89865601896676
4,12,2,35,5,2,3,3,2,45,3,1,2,2,1,1,0,1,0,0,1,0,0,0,1,1,US,Male,0.938340899732732,1,0.938340899732732
3,15,2,19,1,5,3,4,3,40,3,1,1,2,1,0,0,1,0,1,0,0,0,0,1,1,US,Male,0.7608988144878176,1,0.7608988144878176
3,12,4,9,3,4,4,2,1,28,3,3,1,2,1,1,0,1,0,0,1,0,0,1,2,0,US,Female,0.9427045805479936,1,0.7427045805479935
4,15,1,16,2,5,3,4,3,34,1,1,2,1,1,0,0,1,0,0,1,0,1,0,1,1,EU,Male,0.7727553239976002,1,0.7727553239976002
4,24,4,45,1,3,3,2,1,74,3,1,1,2,1,0,0,1,0,0,1,0,0,0,1,1,US,Male,0.9576133687209298,1,0.9576133687209298
1,12,4,7,1,5,3,3,2,35,3,2,1,1,1,1,0,1,0,0,1,0,0,1,2,0,EU,Male,0.6337658526206684,1,0.6337658526206684
4,36,2,47,1,3,3,2,4,32,3,1,1,2,1,0,1,1,0,0,0,0,0,0,1,1,US,Female,0.9052680006652527,1,0.7052680006652527
2,24,3,23,5,2,3,2,2,29,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,EU,Female,0.7370580132625284,1,0.5370580132625284
1,36,2,82,1,3,3,2,2,26,3,1,2,1,1,0,1,1,0,0,1,0,0,1,2,0,US,Male,0.651749247721023,1,0.651749247721023
4,30,1,75,5,1,2,1,1,53,1,1,1,2,1,0,1,1,0,0,1,0,0,0,2,0,US,Male,0.9557342172080218,1,0.9557342172080218
4,24,2,15,2,5,4,4,1,41,3,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,US,Male,0.7652620889544358,1,0.7652620889544358
4,6,1,8,5,3,3,2,1,26,2,1,2,1,1,1,0,0,0,0,1,0,1,0,1,1,EU,Male,0.9734496906389793,1,0.9734496906389793
3,12,2,13,1,2,3,1,1,26,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,EU,Male,0.6997171507207685,1,0.6997171507207685
2,24,2,14,1,2,2,4,3,25,3,1,1,2,1,1,0,1,0,0,1,0,1,0,2,0,US,Female,0.3570355142822116,0,0.15703551428221157
4,12,4,13,1,3,2,2,2,35,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.9326874713056069,1,0.7326874713056069
1,12,4,4,1,4,2,3,1,58,3,4,1,2,1,0,0,1,0,0,1,0,1,0,1,1,US,Female,0.8553250267276774,1,0.6553250267276773
2,48,4,51,1,3,2,3,3,30,3,1,1,2,1,0,0,1,0,0,1,0,0,0,2,0,EU,Female,0.5205825514382587,0,0.3205825514382587
2,27,2,39,1,3,3,2,3,36,3,1,2,2,1,0,0,1,0,0,1,0,0,1,2,0,EU,Male,0.6484996330587198,1,0.6484996330587198
1,36,2,159,1,1,1,3,3,43,3,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,US,Female,0.07349336874891467,0,0.0
2,24,2,28,5,5,3,4,4,36,1,1,1,2,1,0,1,1,0,0,0,0,0,1,1,1,EU,Female,0.8913644222666816,1,0.6913644222666815
2,24,2,116,1,3,2,4,3,23,3,2,1,1,1,0,1,1,0,1,0,0,0,0,2,0,US,Male,0.5548371838963952,1,0.5548371838963952
3,24,2,19,1,3,3,2,1,26,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.7502497031149824,1,0.5502497031149824
2,27,4,25,3,3,3,2,2,23,3,2,1,1,1,0,0,1,0,0,1,0,1,0,2,0,EU,Male,0.8012577156793925,1,0.8012577156793925
4,24,4,51,1,2,4,3,4,47,3,3,1,2,1,0,0,1,0,0,0,0,0,1,1,1,EU,Female,0.890297938210919,1,0.6902979382109189
4,30,4,76,5,5,3,4,3,63,3,2,1,1,1,0,1,1,0,0,1,0,0,1,1,1,EU,Female,0.9889774089326628,1,0.7889774089326629
4,12,2,23,5,3,3,4,4,37,3,1,1,2,1,0,0,1,0,0,0,0,0,1,1,1,US,Female,0.9292552090343452,1,0.7292552090343452
2,18,2,63,1,4,3,3,1,28,3,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,EU,Male,0.3155514432471869,0,0.3155514432471869
4,24,4,20,1,3,2,4,3,37,3,1,1,2,1,1,0,1,0,0,1,0,0,1,1,1,US,Female,0.8215123803214559,1,0.621512380321456
3,15,4,24,3,3,3,2,3,36,3,1,1,2,1,0,1,1,0,0,1,0,0,1,1,1,EU,Female,0.9848349204914667,1,0.7848349204914666
2,12,4,19,1,1,3,2,3,34,3,2,1,2,1,0,1,1,0,0,1,0,0,0,1,1,US,Male,0.9568288275463501,1,0.9568288275463501
4,10,4,21,5,3,4,1,3,26,3,2,1,1,2,0,0,1,0,0,1,0,0,1,1,1,US,Female,0.9952200204931723,1,0.7952200204931723
2,27,0,83,1,5,2,4,4,42,3,2,1,2,1,0,0,1,0,0,0,0,0,0,2,0,EU,Male,0.25063005945172206,0,0.25063005945172206
2,18,2,130,1,1,2,4,4,38,3,1,1,2,1,0,1,1,0,0,0,0,0,0,2,0,EU,Male,0.6339925433770868,1,0.6339925433770868
3,12,1,4,4,3,2,3,1,42,3,2,1,1,1,0,0,1,0,1,0,0,0,1,1,1,EU,Female,0.8301054394216808,1,0.6301054394216807
4,18,2,20,1,3,3,4,4,47,1,2,1,1,1,0,0,1,0,0,0,0,0,1,1,1,US,Male,0.6692787083446357,1,0.6692787083446357
4,12,2,19,1,5,3,4,3,39,3,1,1,2,1,1,0,1,0,0,1,0,0,0,1,1,US,Female,0.8274700365544969,1,0.627470036554497
1,36,2,40,1,1,3,3,2,30,3,1,1,2,1,0,0,1,0,0,1,0,0,0,1,1,EU,Male,0.3568094997127877,0,0.3568094997127877
3,24,2,13,3,3,2,3,3,57,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,US,Female,0.8071567762596769,1,0.6071567762596768
2,36,2,124,5,3,3,4,4,37,3,1,1,2,1,1,0,1,0,0,0,0,0,1,2,0,US,Male,0.32085022223237114,0,0.32085022223237114
3,36,2,39,1,3,3,2,1,23,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.7025158624201885,1,0.5025158624201884
4,24,2,9,5,4,3,2,3,31,2,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.9343644017433399,1,0.73436440174334
2,18,2,11,1,3,2,4,1,26,3,1,2,1,1,0,0,0,0,0,1,0,1,0,1,1,EU,Male,0.8808123852465585,1,0.8808123852465585
4,10,2,16,3,3,3,2,4,40,3,1,2,1,2,1,0,1,0,1,0,0,1,0,1,1,EU,Male,0.949208910210326,1,0.949208910210326
1,15,2,25,1,1,2,4,3,23,3,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,US,Male,0.14836919924895758,0,0.14836919924895758
1,9,2,14,1,2,3,2,4,27,3,1,1,2,1,1,0,1,0,0,0,0,0,0,2,0,US,Male,0.3309510332464634,0,0.3309510332464634
4,48,3,72,5,5,3,3,3,32,1,2,2,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Male,0.8114037444177671,1,0.8114037444177671
2,24,3,64,1,2,3,2,3,33,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.5557984124442228,1,0.5557984124442228
2,24,4,57,1,2,2,4,4,24,3,2,1,2,1,0,0,1,0,0,0,0,0,1,1,1,US,Male,0.5266618001030988,1,0.5266618001030988
4,15,2,53,3,5,2,4,4,35,3,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,EU,Male,0.6742137028340252,1,0.6742137028340252
4,60,2,101,2,4,2,4,1,21,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.5503806668610068,0,0.35038066686100683
2,18,2,39,1,1,2,4,3,67,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.6423363175631199,0,0.4423363175631199
4,24,2,10,5,5,3,2,3,25,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.9359175107008755,1,0.9359175107008755
2,9,4,15,1,5,2,3,3,34,3,2,1,2,1,0,0,1,0,0,1,0,0,0,2,0,US,Female,0.8576862869772134,1,0.6576862869772133
2,24,4,78,4,5,2,4,4,29,3,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,US,Female,0.8818869323591613,1,0.6818869323591612
4,7,4,7,5,5,3,2,2,46,3,2,1,2,1,0,0,1,0,1,0,0,1,0,1,1,US,Male,0.9844849576239078,1,0.9844849576239078
2,36,3,74,1,3,2,2,2,54,3,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,EU,Female,0.27803569259180677,0,0.07803569259180676
4,18,2,18,1,3,4,2,2,30,3,1,1,2,1,1,0,1,0,0,1,0,0,0,1,1,EU,Male,0.8330241246829121,1,0.8330241246829121
2,24,2,31,2,5,3,4,4,30,3,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,EU,Female,0.499316321368669,0,0.299316321368669
2,12,4,14,1,4,3,3,2,26,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Male,0.8127352024744171,1,0.8127352024744171
4,24,4,52,1,5,3,4,3,33,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.9014398866268765,1,0.9014398866268765
4,18,2,34,1,5,3,4,2,47,1,3,2,2,1,0,0,1,0,0,1,0,0,1,1,1,US,Female,0.8708711166567897,1,0.6708711166567898
2,15,4,15,5,5,3,4,1,50,3,2,1,2,1,0,0,0,0,0,1,0,0,1,1,1,US,Female,0.9908381227389093,1,0.7908381227389092
1,12,2,7,1,5,2,4,2,24,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,EU,Female,0.4089438340086957,0,0.2089438340086957
4,30,4,67,5,4,3,3,2,36,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Female,0.9466350382835113,1,0.7466350382835112
4,12,2,9,5,3,2,2,3,21,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Male,0.9305880269084131,1,0.9305880269084131
4,12,4,10,5,4,2,4,1,23,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.97308133715686,1,0.7730813371568599
4,6,2,15,4,3,1,2,1,33,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.9399032085866387,1,0.7399032085866386
1,6,2,7,1,2,3,4,1,41,3,1,2,2,1,1,0,1,0,0,1,0,1,0,1,1,EU,Male,0.574084815484721,1,0.574084815484721
4,18,2,16,2,3,2,4,2,24,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,US,Male,0.7551046086303029,1,0.7551046086303029
4,12,2,21,5,5,2,4,4,52,3,1,1,2,1,1,0,1,0,0,0,0,0,0,1,1,EU,Female,0.8940275430465978,1,0.6940275430465979
2,36,1,40,5,2,2,2,4,29,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,EU,Female,0.2728171069849151,0,0.07281710698491511
1,18,1,16,1,3,3,3,3,44,1,1,1,1,1,0,0,1,0,0,1,0,0,1,2,0,EU,Male,0.28587761871727774,0,0.28587761871727774
4,24,3,25,1,5,3,4,3,47,3,2,2,1,1,1,0,1,0,0,1,0,1,0,2,0,US,Female,0.8127317521376949,1,0.6127317521376949
2,20,3,71,5,4,3,4,2,36,1,2,2,2,1,0,1,1,0,1,0,0,0,0,1,1,US,Male,0.9298648202622588,1,0.9298648202622588
2,18,2,19,4,3,3,2,2,35,3,1,1,2,1,0,0,1,0,0,1,0,1,0,1,1,EU,Female,0.842235219893688,1,0.642235219893688
1,12,3,13,1,3,3,2,1,43,3,2,2,1,1,1,0,1,0,0,1,0,1,0,1,1,US,Male,0.608563447914912,1,0.608563447914912
4,12,2,17,1,4,2,4,1,31,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,US,Female,0.8554306607411428,1,0.6554306607411429
1,6,2,4,1,2,2,4,2,23,3,1,1,1,1,0,0,1,0,0,1,0,0,1,2,0,EU,Female,0.4978767394613452,0,0.2978767394613452
1,8,4,34,1,4,3,4,1,39,3,2,1,1,2,1,0,1,0,0,1,0,1,0,1,1,EU,Male,0.874199158845675,1,0.874199158845675
4,18,4,61,1,5,3,4,3,33,3,2,1,2,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.9150640374780494,1,0.9150640374780494
2,24,2,12,1,2,3,1,2,26,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,EU,Male,0.44386679727685724,0,0.44386679727685724
4,12,2,31,1,3,3,4,3,52,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.8928389171803911,1,0.8928389171803911
2,12,2,6,1,2,4,1,1,26,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,EU,Female,0.8776278030769026,1,0.6776278030769025
4,48,4,61,1,3,3,3,4,31,1,1,1,2,1,0,0,1,0,0,0,0,0,1,1,1,US,Male,0.579057016691021,1,0.579057016691021
4,9,2,14,1,4,2,2,3,27,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Male,0.8627163170061499,1,0.8627163170061499
4,6,0,4,1,5,4,4,3,39,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,US,Female,0.8312444159009402,1,0.6312444159009403
1,15,0,10,1,5,3,3,3,33,3,2,2,1,1,1,0,1,0,1,0,0,0,1,2,0,EU,Female,0.20392555313566252,0,0.003925553135662507
4,21,2,25,5,5,3,4,1,46,3,1,1,2,1,0,1,1,0,0,1,0,0,0,1,1,US,Female,0.9919871901069838,1,0.7919871901069837
1,24,2,24,2,1,1,1,2,33,3,1,1,1,1,0,0,1,0,0,1,0,0,1,2,0,EU,Male,0.42004181542557334,0,0.42004181542557334
1,12,2,7,2,4,4,1,2,20,3,1,1,1,1,0,0,1,0,0,1,0,0,1,2,0,EU,Male,0.6827727010176389,1,0.6827727010176389
3,12,2,19,1,3,2,2,3,44,3,1,1,2,1,0,0,1,0,1,0,0,1,0,1,1,EU,Female,0.7380234920290819,1,0.5380234920290818
2,24,2,41,1,4,1,3,3,43,3,1,1,2,1,0,0,1,0,0,1,0,0,1,2,0,EU,Male,0.5581440855354405,1,0.5581440855354405
2,48,3,67,5,3,3,4,4,38,3,1,2,2,1,0,0,1,0,0,0,0,0,1,1,1,US,Male,0.637586485727154,1,0.637586485727154
1,15,2,13,5,3,2,2,3,24,3,1,1,1,1,0,0,1,0,1,0,0,0,1,2,0,EU,Female,0.5918327796459406,0,0.3918327796459406
1,24,1,32,1,3,3,2,2,31,3,1,1,2,1,0,0,1,0,1,0,0,0,1,2,0,EU,Male,0.3334030037266428,0,0.3334030037266428
4,11,4,72,1,3,3,4,2,39,3,2,1,1,1,1,0,1,0,0,1,0,1,0,1,1,EU,Female,0.8197595157467843,1,0.6197595157467843
2,9,2,21,1,3,3,2,1,37,3,1,2,1,1,0,0,1,0,0,1,0,1,0,1,1,EU,Female,0.7707050854050806,1,0.5707050854050806
2,48,3,62,1,5,3,4,4,50,3,1,1,1,1,0,0,1,0,0,0,0,0,1,2,0,US,Male,0.35290225525828195,0,0.35290225525828195
4,13,2,14,2,1,2,4,1,64,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.907844876024398,1,0.907844876024398
1,11,4,39,1,3,3,2,1,40,3,2,2,1,1,1,0,1,0,0,1,0,1,0,1,1,US,Male,0.6395530017611152,1,0.6395530017611152
1,24,2,40,1,3,3,2,3,27,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Female,0.3123138948776117,0,0.11231389487761168
2,24,2,38,3,1,2,4,4,23,3,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,US,Male,0.2798567828791681,0,0.2798567828791681
1,12,4,14,1,5,3,3,1,54,3,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,EU,Female,0.9516755289938248,1,0.7516755289938248
1,48,2,39,1,4,3,4,4,46,3,1,2,1,1,1,0,1,0,0,0,0,0,1,2,0,EU,Male,0.12509316129572137,0,0.12509316129572137
4,24,2,46,4,3,3,3,2,54,3,3,1,2,1,0,0,1,0,0,1,0,0,0,2,0,US,Male,0.9428825660912084,1,0.9428825660912084
1,6,4,7,4,4,2,4,1,39,3,2,1,2,1,1,0,1,0,0,1,0,1,0,1,1,US,Female,0.8312890169092796,1,0.6312890169092795
2,9,1,51,1,5,2,4,4,74,1,1,2,2,1,0,1,1,0,0,0,0,0,0,2,0,EU,Female,0.8200579488267178,1,0.6200579488267177
4,24,2,28,3,5,3,4,2,53,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Female,0.9101087454761995,1,0.7101087454761994
4,24,4,23,1,4,3,3,3,35,3,2,1,2,1,0,1,1,0,0,1,0,0,1,1,1,US,Male,0.9824246089663637,1,0.9824246089663637
4,10,2,15,1,3,3,2,1,31,3,1,2,1,2,1,0,1,0,0,1,0,1,0,1,1,EU,Male,0.9597745563973091,1,0.9597745563973091
2,18,4,12,1,3,4,2,3,33,3,1,1,1,1,0,0,1,0,0,1,0,0,1,2,0,EU,Male,0.805812300086543,1,0.805812300086543
1,12,4,22,1,3,3,4,2,38,1,2,1,1,2,1,0,1,0,0,1,0,1,0,1,1,EU,Female,0.7509831682896403,1,0.5509831682896402
2,45,2,30,2,3,3,4,2,21,3,1,1,1,1,0,0,0,0,1,0,0,0,1,2,0,US,Male,0.6752619045239471,1,0.6752619045239471
2,36,2,37,5,3,4,2,3,27,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.7187946579838961,1,0.7187946579838961
2,12,4,36,1,5,3,4,3,28,3,3,1,2,1,0,0,1,0,1,0,0,0,1,1,1,US,Male,0.7650919005728247,1,0.7650919005728247
2,9,2,17,1,2,2,2,3,22,3,1,1,2,1,0,0,1,0,0,1,0,0,1,2,0,EU,Female,0.6658212338496539,0,0.46582123384965385
1,36,4,62,1,2,2,4,4,23,3,2,1,2,1,0,0,0,1,1,0,0,1,0,2,0,US,Female,0.19314369623365896,0,0.0
1,20,4,43,1,5,2,4,2,24,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1,EU,Male,0.569959481547801,1,0.569959481547801
